OctaveIndex,OctaveValue,AdjustedOctaveValue,NoiseLevel,Timepoint,Frequency
2,-46,-69,100,10,1000hz
3,75,75,85,10,1000hz
4,41,49,85,10,1000hz
5,-16,-22,80,10,1000hz
6,-2,-3,70,10,1000hz
7,7,21,70,10,1000hz
2,-35,-52,100,11,1000hz
3,75,75,85,11,1000hz
4,40,48,85,11,1000hz
5,-17,-23,80,11,1000hz
6,-5,-8,70,11,1000hz
7,6,18,70,11,1000hz
2,-34,-51,100,12,1000hz
3,76,76,85,12,1000hz
4,42,50,85,12,1000hz
5,-19,-26,80,12,1000hz
6,1,1,70,12,1000hz
7,5,15,70,12,1000hz
2,-39,-58,100,13,1000hz
3,80,80,85,13,1000hz
4,45,54,85,13,1000hz
5,-18,-25,80,13,1000hz
6,-3,-5,70,13,1000hz
7,4,12,70,13,1000hz
2,-29,-43,100,14,1000hz
3,79,79,85,14,1000hz
4,44,52,85,14,1000hz
5,-16,-22,80,14,1000hz
6,1,1,70,14,1000hz
7,5,15,70,14,1000hz
2,-42,-63,100,15,1000hz
3,77,77,85,15,1000hz
4,43,51,85,15,1000hz
5,-18,-25,80,15,1000hz
6,1,1,70,15,1000hz
7,4,12,70,15,1000hz
2,-29,-43,100,16,1000hz
3,78,78,85,16,1000hz
4,43,51,85,16,1000hz
5,-20,-28,80,16,1000hz
